Original_Index,Split,GroundTruth_CD,Predicted_CD,Error,Error_Class
316,Training,12.62998295,10.59193039,2.038052559,
317,Training,9.273733139,9.412816048,0.1390829086,
318,Training,11.6547842,10.88141918,0.7733650208,
319,Testing,9.21909523,9.177750587,0.04134464264,0
320,Training,8.066358566,6.304860115,1.761498451,
321,Training,10.12042618,8.516085625,1.604340553,
322,Training,7.546844959,5.489476204,2.057368755,
323,Training,7.103838921,9.101625443,1.997786522,
324,Training,13.02396107,11.35175228,1.672208786,
325,Training,10.44864941,10.34397411,0.104675293,
326,Validation,10.72448063,12.00725746,1.282776833,
327,Validation,14.93893433,12.69310856,2.245825768,
328,Testing,10.21279812,11.42032337,1.207525253,1
329,Training,10.40131855,10.42645741,0.02513885498,
330,Testing,11.50134373,12.81327152,1.311927795,1
331,Training,9.79097271,10.25436783,0.4633951187,
332,Training,8.363206863,6.908929348,1.454277515,
333,Training,10.86612701,9.40724659,1.458880424,
334,Training,7.359444141,5.932000637,1.427443504,
335,Training,6.913073063,8.136836052,1.223762989,
336,Training,17.19290161,17.12607002,0.06683158875,
337,Validation,19.30395317,22.83459663,3.530643463,
338,Training,23.45940018,16.84626579,6.613134384,
339,Testing,15.6890192,11.91575336,3.773265839,2
340,Training,11.22127628,7.611955643,3.609320641,
341,Training,9.424190521,8.716011047,0.7081794739,
342,Training,9.231730461,5.910190105,3.321540356,
343,Testing,8.852025986,5.650913239,3.201112747,0
344,Testing,10.02262974,8.169970512,1.852659225,1
345,Testing,12.33375168,9.013884544,3.319867134,1
346,Training,17.89156914,12.15470219,5.736866951,
347,Training,14.20975876,13.34588814,0.8638706207,
348,Testing,9.410909653,9.204855919,0.2060537338,0
349,Training,10.22503948,9.442046165,0.7829933167,
350,Validation,9.087124825,8.685282707,0.4018421173,
351,Training,12.54462337,11.88161659,0.6630067825,
352,Training,8.40140152,8.602976799,0.2015752792,
353,Training,8.396224976,8.304755211,0.09146976471,
354,Training,9.221189499,8.235461235,0.9857282639,
355,Training,7.823259354,7.055160046,0.768099308,
356,Training,7.25475359,6.960487366,0.2942662239,
357,Training,12.75564003,8.852778435,3.902861595,
358,Training,14.95606804,12.02779388,2.928274155,
359,Testing,7.783342361,7.58567524,0.1976671219,0
360,Training,9.736242294,8.737719536,0.9985227585,
361,Training,8.415706635,7.351081371,1.064625263,
362,Training,8.872484207,6.644021988,2.228462219,
363,Testing,10.9615345,9.667824745,1.293709755,1
364,Training,9.495692253,8.434159279,1.061532974,
365,Training,7.911328316,7.772973061,0.1383552551,
366,Testing,10.71733856,7.628087044,3.089251518,1
367,Training,7.827303886,7.12558651,0.7017173767,
368,Training,8.515083313,8.493251801,0.02183151245,
369,Training,12.46447468,9.322415352,3.142059326,
370,Training,9.955479622,6.544294357,3.411185265,
371,Training,7.920348644,7.670706749,0.2496418953,
372,Testing,8.764472961,9.271997452,0.5075244904,0
